,int_rate,loan_amnt,annual_inc,dti,delinq_2yrs,total_acc,open_acc,pct_tl_nvr_dlq,pub_rec_bankruptcies,total_bal_ex_mort
144990,10.42%,11150,15936,9.94,0,13,4,100,0,6255
22309,11.44%,2000,110000,19.75,0,24,10,100,0,64892
111779,7.97%,5000,80000,14.7,0,10,5,100,0,11016
193795,14.07%,15000,55000,24.42,0,20,10,95,0,111917
58948,15.05%,25000,65000,26.37,0,37,15,100,0,50974
234168,21.85%,13000,37000,24.52,0,27,11,100,0,47692
214973,13.59%,20000,40000,26.37,1,26,14,96,0,27109
213804,7.35%,2100,45000,16.61,0,12,4,100,0,30485
36197,12.74%,8000,36400,31.39,0,23,7,100,1,48595
221369,18.45%,9000,42900,20.64,0,31,17,100,1,46436
69890,24.85%,35000,138000,32.08,1,29,24,90,0,88255
137969,15.05%,6500,80000,16.14,0,26,11,95,0,43017
48573,5.32%,5500,57000,11.41,0,34,6,100,0,93803
185258,13.59%,4800,37200,16.16,0,25,8,100,1,27528
157897,12.62%,9000,95000,33.94,0,30,8,100,0,109666
95457,5.32%,12000,85000,21.87,0,59,29,96,0,61649
199,11.49%,7000,42000,7.26,0,24,11,87,0,6723
62711,9.44%,20000,90000,18.44,0,26,16,100,0,40446
55137,11.99%,16000,181000,0.66,0,19,14,100,0,1470
168065,12.62%,37800,206000,7.02,0,39,23,94,0,562393
57264,9.44%,24000,138000,12.9,0,28,6,89,0,49925
66764,7.35%,9600,128000,16.27,6,39,13,79,0,97891
51595,11.99%,8500,45000,16.67,0,7,7,100,0,15770
67687,9.44%,10000,35000,31.28,0,17,11,100,0,19878
59592,25.82%,15950,38000,32.98,0,26,19,91,1,30366
202054,7.35%,8000,100000,6.9,0,14,11,100,0,27513
119714,10.42%,20000,90000,11.6,0,12,8,100,0,22564
46385,12.74%,12000,65000,24.69,0,10,6,44,0,51084
6430,13.49%,12000,78000,24.12,0,33,14,90,0,53995
45413,18.99%,15000,35000,11.76,0,11,6,100,0,13220
197981,7.34%,8000,60000,22.83,0,15,12,100,0,69420
248156,11.55%,4000,25000,22.23,1,19,9,94,1,16640
68376,7.35%,40000,32000,71.83,0,39,7,100,0,102044
247272,10.47%,19000,31500,11.85,0,11,2,100,0,3974
103499,16.02%,15000,72000,11.33,0,25,10,100,0,22785
30676,8.24%,15000,75000,17.22,0,26,11,100,1,19916
144717,15.05%,15000,45000,8.4,0,26,14,100,1,60220
258983,16.14%,6000,67000,19.08,0,23,7,100,0,42933
154820,10.91%,10000,125650,10.33,0,32,17,80,1,43826
253991,13.56%,12000,120000,17.39,0,16,10,93,0,95264
153619,15.05%,18000,54000,11.24,0,22,12,100,0,16248
243745,20.89%,25000,55000,17.98,0,15,9,93,0,22749
188285,18.45%,10000,21600,23.11,0,8,7,100,0,15991
205083,9.93%,40000,133000,11.94,0,16,9,100,0,28934
195774,14.07%,15000,52000,27.95,0,29,5,96,0,94659
110822,10.42%,3000,61000,15.52,0,10,7,90,0,43686
1194,11.44%,8500,105000,7.46,0,6,3,100,1,36702
206249,15.05%,8000,27000,5.61,0,6,6,100,0,5429
87423,17.99%,2650,30000,33.64,0,20,16,100,0,27731
99137,19.99%,24000,35000,43.14,1,16,12,93,0,33495
174878,7.07%,5000,40000,4.71,0,22,8,100,0,4185
219651,19.42%,8400,9300000,0.02,1,20,9,89,0,2654
164699,10.42%,28000,160711,13.07,1,47,28,98,0,77481
234960,13.58%,3600,75000,22.82,1,26,15,96,1,24333
102966,10.91%,3000,80000,22.1,1,32,11,70,0,65766
27318,14.99%,14700,35000,13.31,1,15,6,93,0,11715
100068,7.21%,6000,55000,18.57,0,11,4,90,0,41521
247035,15.02%,24000,315000,6.13,0,23,10,100,0,68990
141067,13.59%,10000,75000,17.52,0,26,21,92,0,97297
5618,13.99%,25000,83000,34.07,0,43,18,100,0,138757
208935,9.93%,12000,48900,22.8,0,18,15,100,0,71518
252525,15.02%,19000,99000,36.62,0,54,23,100,0,86811
32331,14.99%,2400,47485,15.18,0,18,9,81,0,25474
53154,12.62%,5500,28340,25.12,0,7,4,100,0,13064
115885,7.07%,7200,83000,6.12,0,11,5,100,0,13104
254371,15.02%,30000,90000,22.23,0,23,8,100,0,51370
109511,16.02%,28000,62000,14.83,1,41,12,95,0,20708
250987,14.47%,3500,8500,136.44,0,7,5,85,0,15013
255460,24.37%,1000,18000,4.0,0,10,7,100,0,585
77445,26.24%,27700,82000,15.92,0,14,7,78,0,39746
121263,11.99%,2800,51000,8.09,0,52,5,100,0,11015
191846,17.47%,3000,60000,10.14,0,16,15,100,0,44488
17074,14.99%,30000,115000,23.83,0,29,11,96,0,88313
153198,15.05%,12000,55000,16.32,0,17,13,100,1,36863
142870,7.07%,10000,84000,16.86,0,50,21,100,0,35035
30723,14.99%,5500,50000,17.26,0,24,13,90,1,14553
38299,29.99%,14400,100000,1.99,0,23,11,100,1,5639
99149,10.49%,16800,60000,17.44,0,22,10,100,1,40843
21162,12.74%,29125,80000,15.99,0,31,8,100,0,56058
20710,15.99%,22675,54000,15.2,0,24,11,45,0,33949
192457,16.01%,24000,35000,50.01,0,26,7,100,0,47202
2078,7.24%,35000,200000,17.13,1,45,22,86,0,201951
218395,6.19%,15000,164200,8.43,0,22,12,77,0,23090
118692,26.30%,3000,115000,28.76,0,47,16,100,0,115574
225860,21.85%,24000,120000,9.31,0,22,10,86,0,22465
137001,14.08%,35000,62000,44.37,0,33,20,100,0,91117
214048,14.08%,9000,75000,0.0,0,6,1,100,1,0
74047,17.09%,15000,85000,13.54,2,22,17,95,0,36725
74862,11.99%,10000,40000,22.53,0,12,8,100,1,20437
168788,7.35%,11000,37154,15.57,0,22,9,90,0,20072
102559,9.44%,35000,206000,7.6,0,35,28,100,0,33988
112680,7.07%,1600,36000,19.97,1,24,9,91,0,8724
81732,29.49%,10200,29000,26.24,0,12,7,100,0,33672
58591,11.99%,6000,38000,11.31,0,20,12,100,1,11737
199885,16.02%,11000,32000,19.86,0,22,8,90,0,8728
59023,5.32%,1500,100000,15.26,0,29,10,96,0,12272
201396,16.02%,8000,38500,22.14,0,12,10,100,0,33035
73195,21.45%,4500,25000,33.99,0,11,9,90,0,7581
52514,5.32%,14000,80000,20.15,0,30,18,100,1,55981
58370,10.91%,10000,76000,15.5,1,22,13,90,0,27403
40664,14.99%,8000,65000,14.75,0,38,14,94,0,33520
79796,7.07%,4400,67000,19.31,0,24,8,100,1,57295
12414,11.49%,4000,40000,25.86,0,10,5,100,0,32799
65088,11.99%,13000,53000,16.49,0,37,16,84,0,47806
156112,24.85%,27175,55000,20.69,0,22,8,100,0,34228
162789,7.97%,10000,72000,24.37,0,21,19,100,0,67143
229041,10.90%,34000,63000,21.6,0,19,11,94,0,47429
241841,15.02%,30000,85000,20.95,0,42,20,100,1,64198
196756,6.07%,26000,130000,12.2,0,34,12,100,0,57312
228149,10.90%,8400,93000,10.74,1,17,7,76,0,24648
167803,16.02%,17000,72000,20.92,0,28,26,100,0,90530
44755,19.99%,19800,45000,30.88,0,34,27,100,0,42939
193280,13.58%,20800,120000,22.5,1,33,21,97,0,118166
59148,7.97%,15000,85000,16.96,0,19,10,100,0,27741
228400,13.58%,12000,50000,37.25,0,18,12,100,0,47183
212627,6.72%,14800,84000,14.55,0,19,11,100,0,43199
41352,8.24%,30000,140000,23.72,0,35,10,100,0,106144
127309,14.08%,6000,20000,26.47,0,18,8,76,0,8318
227481,5.31%,12000,165000,8.15,1,27,15,96,0,56279
234817,20.39%,7575,31512,12.0,0,9,7,100,0,11076
242721,10.08%,14000,200000,5.45,0,67,55,100,0,39728
243825,10.08%,25800,79500,11.86,0,21,10,100,0,38009
191061,16.01%,25000,100000,26.15,0,12,8,91,0,92978
16027,22.74%,13000,35000,10.87,0,35,7,97,0,13929
32317,10.49%,8500,43000,20.76,0,15,10,93,0,25913
74031,10.91%,4000,80000,31.76,0,43,19,100,0,156694
123213,19.03%,28000,70000,17.49,0,12,8,90,1,29180
59261,16.02%,3000,94000,3.78,0,17,8,83,6,11979
1642,25.49%,24000,50000,17.09,0,9,6,100,0,25328
49273,15.99%,28000,160000,13.67,6,48,22,88,0,65225
236610,20.39%,14400,95000,29.52,2,25,13,92,0,53596
120950,7.21%,1000,50000,13.2,0,16,6,100,0,22859
8702,7.99%,5600,63000,19.14,0,21,14,100,1,50207
38964,10.49%,10000,65000,11.65,0,10,4,100,0,24334
147829,18.06%,5000,60000,16.04,0,10,7,100,0,30252
66594,23.88%,17000,38000,17.15,0,24,10,100,0,23777
212587,19.03%,20000,95000,22.54,1,31,13,96,0,62474
236247,14.07%,7500,50100,26.56,1,38,13,97,0,100870
245694,16.14%,10000,92000,24.3,1,41,13,95,0,72759
208062,13.59%,5000,67000,22.23,0,24,18,100,0,107000
218928,7.46%,14000,125000,0.32,0,12,9,100,0,296
118050,11.99%,10800,45000,14.05,0,33,11,100,0,21757
167911,21.45%,7800,24000,19.2,0,15,9,93,0,12950
54221,21.45%,30000,85000,3.39,0,11,4,100,0,7995
243194,6.67%,8000,52000,13.55,0,25,15,96,0,45360
117581,21.45%,12000,77000,15.66,0,17,14,88,1,24931
152832,24.85%,4000,140000,13.12,0,20,9,90,0,31232
246838,10.08%,9000,120000,24.36,0,40,15,97,0,189834
71565,18.06%,40000,45000,52.29,1,30,19,83,0,54734
1422,16.99%,32925,400000,13.57,0,40,21,85,0,137570
81883,17.99%,5000,150000,15.34,0,43,28,100,1,99129
208830,13.59%,25600,54000,28.84,0,13,7,100,0,30663
69913,13.59%,8000,52000,22.11,0,16,8,86,0,32968
48004,17.99%,9000,67500,24.89,0,39,27,94,0,101307
227714,10.41%,14000,31000,28.77,0,17,9,100,1,14405
82668,8.24%,12000,167000,11.46,0,56,18,93,1,39778
31814,28.69%,12800,62000,11.77,0,31,8,93,0,14877
107056,7.35%,10000,90000,12.51,1,24,7,95,0,39813
63999,14.08%,5000,27000,10.09,1,10,7,80,0,7069
248954,6.11%,3000,110606,10.32,1,39,14,94,0,47678
177065,12.62%,10000,45000,5.07,0,5,5,100,1,5970
194607,11.98%,23000,65000,27.64,0,34,22,100,0,46356
176654,9.93%,10000,40500,29.42,0,33,16,100,0,37543
137194,15.05%,35000,140472,11.38,0,16,14,100,0,46757
231644,15.04%,19650,72000,26.72,0,22,12,86,0,38133
214386,6.72%,40000,239590,7.7,0,18,11,100,0,74211
143660,10.42%,10000,54000,22.36,0,11,6,70,0,40696
199338,7.35%,16000,115000,17.35,0,26,13,84,0,43489
183891,9.44%,12000,62000,4.51,0,17,12,94,0,5986
3104,15.99%,19200,85000,19.06,1,42,11,95,0,64889
218968,11.05%,12000,92650,16.96,0,12,6,91,0,52204
66002,7.97%,9400,65000,16.12,0,12,7,91,0,21506
120004,30.65%,10800,65000,26.61,0,31,13,90,1,39758
225073,8.08%,21000,72500,20.59,0,27,8,100,0,122806
118257,19.03%,28000,103000,8.58,0,18,18,100,0,20289
33290,13.49%,6000,35000,15.43,0,28,22,38,0,47131
113205,22.91%,2000,50400,27.38,0,45,12,73,0,36096
87062,14.99%,12000,37000,27.34,0,40,18,97,1,53428
66548,9.44%,16000,60000,28.72,1,28,15,96,0,41743
209252,17.09%,10000,40000,14.85,0,8,5,100,0,22441
36692,23.99%,21600,47500,32.06,0,19,19,100,0,87139
243161,15.02%,20000,50000,14.55,0,32,7,100,0,136286
55136,17.09%,2400,97000,14.91,0,18,12,100,1,158135
154057,14.08%,21775,89000,32.98,0,28,14,75,0,113562
71857,10.91%,10000,36000,23.93,0,28,20,92,1,51708
18747,17.99%,1675,52000,10.88,0,25,4,91,0,7655
5023,26.24%,16000,60000,5.38,1,14,5,83,1,6520
201569,21.45%,16000,108000,21.19,0,11,8,100,1,64876
43422,13.99%,30000,60000,13.82,0,40,11,100,0,38903
58983,16.02%,7200,58000,12.83,5,46,13,73,0,6790
53377,26.30%,10000,16623,24.31,1,26,5,90,1,5282
197200,9.92%,6000,42000,20.14,0,25,14,80,0,25307
148994,16.02%,2000,59000,36.29,0,41,17,97,0,55792
38363,11.44%,8450,270000,12.36,1,22,9,94,0,49707
14867,11.44%,20000,50000,8.83,0,27,17,100,0,20650
80870,16.99%,5325,33370,16.94,0,18,8,100,0,15099
45879,13.49%,26450,200000,4.77,1,25,15,83,0,141987
93489,26.24%,15000,85000,12.13,0,34,25,100,2,66669
205375,6.72%,15000,60000,20.25,0,51,20,100,0,118871
219473,18.45%,12000,32000,19.69,0,21,8,100,0,21865
226630,7.46%,25000,75000,26.18,0,36,23,100,0,43673
162944,20.00%,22625,59424,11.13,0,17,8,93,0,23089
193396,11.98%,36200,220000,26.8,0,42,19,100,0,299834
192003,10.90%,7275,45000,8.69,0,6,3,100,0,9996
232352,11.98%,20000,75000,15.63,0,36,20,94,0,49005
81806,13.49%,20000,60200,26.45,0,67,28,98,0,112745
6004,8.24%,6000,125000,25.42,3,47,26,93,0,112710
9983,10.49%,2800,30000,6.12,0,25,7,94,1,3299
243056,11.55%,13000,76000,15.89,0,14,9,100,0,48405
119991,7.35%,40000,245000,14.37,0,50,16,100,0,100239
167015,26.30%,25000,80400,35.63,0,16,12,100,0,65610
260263,26.31%,15000,86000,14.04,0,20,12,95,0,33673
179797,13.59%,6025,50000,6.6,0,25,14,64,0,6590
30777,13.49%,18775,80000,20.75,0,28,7,96,0,34598
51190,23.88%,3600,48000,23.15,2,14,7,85,0,36285
28701,16.99%,17000,49000,30.79,0,8,6,100,0,37836
31263,14.99%,35000,120000,18.74,1,24,8,87,0,46750
226517,30.17%,21000,61000,32.46,0,43,21,100,0,65625
44078,14.99%,10000,43000,22.27,0,10,7,100,0,30018
180104,16.02%,21000,45000,28.53,0,10,8,100,0,50709
230792,17.47%,7000,60000,12.62,0,84,10,96,0,6363
192127,7.34%,5000,22000,27.11,0,20,9,100,0,145675
77456,11.44%,27000,96000,34.31,1,25,14,92,0,61229
254528,8.19%,21000,150000,9.15,0,27,9,85,0,47170
92879,8.24%,10000,45000,8.11,0,24,7,100,1,9816
233096,6.07%,40000,110000,17.9,0,28,15,100,0,67902
73792,19.03%,15000,74000,8.22,1,19,9,100,0,18595
9474,13.99%,40000,90000,37.61,0,27,10,96,0,110138
247594,26.31%,1000,75000,25.23,0,34,15,91,0,33310
176750,7.97%,10000,42000,11.37,0,21,10,90,0,9531
243669,18.94%,15000,68160,5.37,1,15,4,93,0,10945
176018,30.65%,11575,40000,61.72,0,12,5,100,0,72746
84442,11.44%,8400,42000,16.2,0,16,6,100,1,20872
82538,12.74%,19200,103000,27.31,0,21,10,100,0,78560
34113,11.49%,18000,150000,15.82,1,26,12,96,0,51425
56503,7.07%,3500,42000,9.74,0,7,5,100,0,11451
169500,21.45%,25000,150000,27.32,0,25,10,100,0,107470
158516,6.08%,20000,90000,11.17,0,21,7,100,0,12772
103507,15.05%,5000,80000,4.31,0,29,10,69,1,6344
194212,12.61%,8000,48000,6.15,0,16,5,75,0,16646
80262,12.74%,4000,25000,17.23,0,5,4,80,0,3410
179139,12.62%,13600,70000,19.12,0,34,17,96,0,109444
62728,10.42%,11200,85000,7.0,0,20,8,100,0,26520
184424,12.62%,10500,93936,26.89,0,43,10,86,0,74393
251584,11.06%,21000,240000,11.42,0,44,31,97,0,117695
135593,12.62%,2600,56000,9.71,0,13,6,92,0,19037
238089,5.31%,7500,180000,2.8,0,27,8,85,0,8953
59194,12.62%,20000,210000,12.27,1,31,17,96,0,70787
184635,13.59%,5500,63500,12.7,0,12,8,100,1,23547
91849,23.99%,30000,95000,33.6,0,21,10,100,0,114534
89382,10.49%,10000,40000,19.29,0,15,8,80,0,25533
38644,11.49%,19200,96000,16.48,0,29,14,100,0,96526
78991,15.05%,10000,44616,6.19,1,13,6,84,0,5833
61621,28.72%,16000,48000,47.48,1,24,11,95,0,89649
131914,13.59%,26000,102192,15.63,0,19,10,94,1,35646
166350,12.62%,4200,60000,14.3,1,11,8,90,0,31466
56779,7.35%,6000,40560,12.57,0,33,19,100,0,44543
261292,20.89%,15750,140000,16.93,0,26,8,100,1,42698
60893,9.44%,7000,77000,12.09,0,25,4,100,1,28247
167400,6.72%,9000,60000,25.02,0,39,23,100,0,38303
91266,7.24%,15000,89000,12.67,0,28,12,96,0,24592
151218,11.99%,8000,47000,15.59,0,38,9,84,0,12540
252199,16.14%,1000,35000,20.55,0,13,9,100,0,38056
30796,11.49%,17500,36300,14.46,0,22,4,100,0,17429
54587,16.02%,32000,80000,17.85,0,10,8,100,0,48951
56516,15.05%,18650,200000,24.51,0,39,26,100,0,144097
238296,14.07%,30000,135000,7.1,0,10,4,100,0,46602
79561,24.85%,4750,120000,8.24,2,11,6,90,0,31882
54853,9.44%,11200,40000,18.63,0,16,7,100,0,25151
132025,10.42%,6025,52000,16.66,1,21,11,90,0,12020
180707,18.06%,25000,79000,33.16,0,30,16,100,0,107693
159725,17.09%,21500,120000,18.37,0,28,6,100,1,64121
54791,10.91%,5000,130000,1.5,3,23,7,65,0,3959
106912,17.09%,5000,20800,29.77,0,8,4,100,0,16434
256213,15.02%,10000,42000,4.06,0,16,7,87,0,3428
180677,11.99%,30000,120000,17.35,0,24,9,100,1,106395
28072,19.99%,31075,114000,27.72,0,21,8,95,0,70021
86989,13.99%,25000,80000,12.17,0,12,8,83,1,26394
44560,12.74%,10000,80000,14.13,0,56,42,100,1,67551
240913,12.73%,6925,53000,17.62,1,24,12,87,0,23392
13878,7.99%,36000,165000,16.93,0,67,23,98,0,123778
94761,15.99%,20000,81000,17.11,0,15,11,100,1,51807
41663,12.74%,14000,124000,25.31,0,38,12,93,0,318573
194359,15.04%,40000,400000,4.98,0,15,6,100,0,165856
168953,7.97%,2400,72000,8.53,1,19,9,89,0,17531
96421,13.99%,20000,180000,10.27,0,14,8,100,0,164234
168113,9.93%,9600,60000,11.54,0,12,6,75,0,20160
206072,10.42%,40000,88000,11.29,0,9,8,100,0,36793
89687,7.49%,3000,60000,12.94,0,39,19,100,0,33137
61573,9.93%,6000,45000,4.67,0,5,2,100,0,8941
243729,11.55%,8000,90000,28.29,0,34,9,70,0,25733
120523,16.02%,10000,43000,23.61,0,21,7,90,0,21339
34987,8.24%,10000,50000,29.4,0,30,22,93,0,38370
221368,10.56%,26000,136000,14.77,0,15,8,100,0,37450
153590,7.97%,20000,44000,8.81,0,23,11,100,0,13769
175418,18.06%,5000,35000,27.18,0,17,10,94,1,39063
132487,11.99%,15600,40000,47.76,0,29,10,89,1,139992
17130,7.49%,8000,95000,10.37,0,13,9,100,0,33486
54104,10.91%,36000,120000,28.02,0,36,16,100,0,143523
17641,30.89%,12000,50000,22.37,0,27,6,81,0,48057
180632,5.32%,36000,150000,15.81,0,35,20,100,0,43874
145626,13.59%,4500,48000,19.03,0,17,10,87,0,18349
62664,16.02%,17000,59900,19.48,1,35,18,67,0,52860
69349,7.21%,20000,80000,5.88,0,20,6,100,0,19305
27134,8.24%,5000,97000,18.95,0,33,14,100,1,45630
8960,15.99%,16000,30000,82.96,4,22,11,68,0,70010
116282,5.32%,9000,42000,12.8,0,20,15,100,0,5890
32328,14.99%,10000,82000,11.72,1,16,13,93,0,14373
111019,5.32%,4000,550000,6.1,1,18,11,100,0,229279
185422,12.62%,15000,45000,31.52,0,25,20,100,0,78279
132421,9.44%,6000,55000,15.19,0,56,17,100,1,30530
221309,6.19%,14000,68500,7.13,0,5,3,100,0,16873
236943,7.34%,4000,50000,24.92,0,25,13,91,0,51361
168419,11.99%,40000,254000,4.43,0,17,10,93,0,47908
98139,6.99%,10650,75000,31.89,0,32,14,100,0,36406
29360,10.49%,14000,70000,9.34,0,19,16,100,0,34933
230276,14.07%,12000,100000,17.9,0,25,13,79,0,75469
122184,19.03%,3600,31000,0.97,0,11,3,72,0,502
156732,9.44%,18000,80000,20.06,0,18,7,100,0,68792
243551,17.97%,8000,58000,14.73,1,20,11,63,0,28423
11780,30.74%,15000,62000,25.34,0,14,9,100,1,39047
187359,25.82%,18000,54000,24.32,0,19,13,89,1,47004
239741,6.67%,6500,72000,6.3,0,24,7,100,1,18982
218159,13.06%,20000,50000,21.94,1,33,19,69,0,166902
255686,11.80%,2200,30000,1.0,0,6,3,100,0,989
154913,22.91%,18150,90000,14.15,0,16,9,94,0,23416
22500,14.99%,9000,34500,33.32,0,16,9,100,0,37584
79358,18.06%,1800,92300,33.36,0,21,11,85,0,161797
1236,16.99%,30000,163000,32.44,0,31,16,100,0,141924
121958,14.08%,15000,75000,9.15,0,15,8,100,1,21784
128382,7.07%,6000,46000,32.9,0,36,14,100,0,38424
111004,10.91%,17000,47000,24.46,1,34,13,100,0,63029
118745,9.93%,5500,65000,20.67,0,52,26,98,0,146519
200540,23.88%,30000,85000,16.14,0,14,10,92,0,39562
53164,12.62%,8500,37000,19.62,0,8,6,100,0,43720
45698,13.49%,3200,24000,11.8,0,6,5,100,1,12803
228538,19.42%,9525,42000,38.6,0,35,14,100,1,49564
151054,7.97%,5000,50000,6.77,1,25,14,96,0,7017
200809,18.06%,15000,78000,14.38,0,21,7,95,0,35107
41594,7.24%,7500,60000,19.48,0,23,13,100,0,54266
13435,11.49%,10000,28000,45.61,0,30,17,100,0,48346
234650,11.98%,10000,40000,21.6,0,13,8,100,0,33824
232270,15.04%,10000,88000,39.9,1,30,14,86,0,140596
36013,23.99%,24000,75000,26.02,2,30,12,93,0,32189
103498,19.03%,17500,110000,27.95,1,19,10,79,0,40008
84722,6.99%,6000,77792,11.28,0,18,10,100,0,19905
102100,9.44%,1600,35000,38.1,0,23,11,100,0,49935
45624,13.49%,18000,88000,15.71,1,23,18,91,0,34117
28197,11.39%,8525,46000,20.35,0,14,10,100,0,15141
119025,21.45%,12450,80000,14.42,0,14,7,92,0,42137
223299,16.46%,31000,90000,13.41,0,36,12,100,1,84904
43134,11.44%,30000,65000,6.54,0,18,4,93,0,11955
70523,11.99%,8500,46178,20.45,0,10,4,90,0,31302
59807,13.59%,9000,59000,23.74,0,16,9,100,1,47179
105479,10.42%,40000,122196,31.63,0,48,19,97,0,122155
101014,7.07%,2500,45000,10.43,0,28,10,100,0,15604
211639,11.99%,10000,100000,10.91,0,17,7,100,0,39936
201242,21.45%,12000,45000,15.41,0,7,5,71,0,24481
38986,7.49%,18000,140000,20.09,0,21,8,90,0,73985
154552,7.35%,5000,110000,8.15,0,8,8,100,0,91025
257088,16.14%,15000,72000,17.68,0,23,14,87,0,31535
10975,14.99%,15000,40000,12.93,0,25,4,100,1,72643
170860,18.06%,15000,58183,8.64,0,21,10,100,1,15476
6212,14.99%,32000,89000,24.5,14,41,15,65,0,74868
202221,13.59%,10000,50000,12.34,0,22,10,86,0,15027
9580,7.24%,16000,70000,18.12,0,30,16,96,0,97502
190124,13.58%,10000,221000,16.79,0,34,24,97,0,93298
245900,20.89%,10000,14400,13.75,0,8,4,100,1,5378
48483,11.49%,12000,51200,21.73,0,30,14,90,0,27151
179310,10.91%,5000,33000,25.2,0,18,12,100,0,24332
4016,8.24%,7000,85000,24.92,0,36,13,100,0,66064
162609,10.42%,10500,90000,15.95,0,31,18,100,0,64461
195279,28.72%,20000,140000,38.27,0,27,14,100,0,190529
126837,10.42%,12000,25000,29.19,0,13,8,84,0,21692
157503,9.44%,4500,55000,34.48,0,24,12,95,1,77996
171439,14.08%,40000,230000,4.47,0,18,8,93,0,40882
93765,13.49%,3000,75000,6.07,0,18,3,100,0,26179
139008,10.91%,3200,30000,23.88,0,27,13,100,0,16455
227798,6.71%,16000,46000,11.9,0,24,12,100,0,67401
185083,19.03%,36000,107030,28.69,0,34,23,97,0,114009
42462,13.99%,35000,118000,25.49,1,35,12,77,0,70377
223787,21.85%,2500,46000,2.32,0,3,3,100,0,2012
91108,11.39%,18000,85000,27.18,2,30,13,93,0,59581
2339,5.32%,12600,110000,12.42,0,25,10,100,0,29915
179279,13.59%,20000,70000,4.94,0,22,4,100,0,14041
115637,19.03%,8000,100000,14.21,0,18,8,94,0,43489
181437,10.91%,15000,110000,10.76,0,13,6,100,0,34254
142610,10.91%,4000,40000,29.19,0,37,11,94,0,57001
203858,13.59%,14000,120000,20.78,0,26,15,100,1,92398
80851,26.24%,14000,98362,33.36,0,29,13,92,1,65471
202280,5.32%,8000,95000,8.24,0,19,6,100,0,26216
45018,11.49%,7000,35000,17.37,0,8,3,100,0,11525
197147,15.04%,6400,48000,12.54,0,34,22,100,0,37962
141487,7.07%,5600,22000,17.13,0,9,7,100,0,5273
261714,19.92%,40000,375000,9.27,0,15,8,100,0,159368
236754,14.07%,2000,106000,13.43,0,24,15,95,0,39573
32625,16.99%,4000,31200,4.0,0,12,12,100,0,35406
239105,6.71%,12000,157469,16.83,0,40,13,94,0,119008
5475,13.99%,2800,70500,13.04,0,15,8,100,1,17779
3216,11.49%,21000,85000,15.78,0,33,14,96,0,36956
31697,6.99%,25000,85000,9.25,0,9,6,77,0,13006
25815,15.99%,7500,51000,17.72,1,36,14,94,0,22361
82793,11.39%,7600,66305,19.87,4,24,11,83,0,44479
201985,9.44%,18000,90000,17.12,0,17,16,100,0,40854
172166,5.32%,6000,140000,8.92,0,43,16,100,0,68293
171301,7.97%,15000,52000,23.24,0,27,12,92,0,54711
115867,13.59%,26000,60000,23.66,0,31,20,100,0,35027
76584,21.45%,15100,117000,21.79,0,28,12,78,0,104564
74465,17.09%,10000,60000,30.92,0,18,14,100,0,67964
108,17.99%,35000,127000,29.86,0,27,19,92,0,110985
235643,10.41%,2000,59205,3.26,0,6,4,100,1,8738
5021,11.49%,15000,68975,13.89,2,13,7,53,0,8778
48847,30.49%,15950,42000,33.47,0,25,10,84,0,37400
7928,11.44%,20000,65000,30.96,0,43,19,100,0,53584
240132,17.97%,5000,136000,27.69,0,31,25,100,0,81427
157700,16.02%,25000,59000,21.77,1,22,16,95,0,40569
125358,7.21%,16000,206000,14.37,0,33,20,87,0,60062
238853,30.65%,35000,100000,37.79,0,12,10,100,0,123096
110187,15.05%,32000,150000,4.7,2,16,8,92,0,15691
79596,13.49%,6000,50000,20.12,1,18,10,94,0,31095
91782,24.74%,14775,45000,28.68,0,37,20,97,1,11297
71897,13.59%,10000,82003,23.23,1,42,14,86,0,131963
121377,11.99%,4450,94000,16.51,0,27,14,85,0,38013
198492,25.81%,20000,100000,36.22,0,27,12,100,0,114798
25856,7.99%,34125,350000,11.62,0,26,14,100,0,146944
191256,18.45%,27500,55000,26.01,1,29,19,93,0,60566
28130,11.44%,20000,90000,8.77,0,12,5,100,0,16126
71892,10.42%,10000,85000,23.97,0,25,14,100,0,56056
125279,30.99%,18000,107000,31.64,0,46,22,100,0,188008
159652,14.08%,6100,36672,14.37,0,8,4,100,0,23412
73365,15.05%,5000,55000,15.6,2,15,7,86,1,28050
256364,19.92%,35000,220000,12.7,0,32,16,100,1,102368
202367,14.08%,10000,40000,38.03,0,26,12,88,0,14297
261590,18.94%,18000,56000,19.95,0,18,13,83,0,39238
142782,14.08%,4700,40000,3.22,0,9,5,100,0,8627
122688,16.02%,40000,64539,25.57,0,21,15,100,0,67172
80524,9.93%,4000,45000,28.07,0,27,11,84,0,89154
210196,16.02%,6500,60000,26.74,0,8,6,100,0,54469
50786,25.49%,29900,68000,22.59,0,11,6,100,0,29115
188718,14.07%,8000,45000,9.12,0,4,4,100,0,15416
142938,11.99%,5050,78000,6.58,0,14,7,100,1,20537
231265,10.90%,6950,310000,30.33,1,29,16,96,0,527769
232963,6.71%,40000,285000,0.44,0,53,12,98,0,3713
127240,10.91%,5000,60000,11.22,0,16,9,100,1,14648
52716,19.03%,12000,32760,25.27,0,17,6,82,0,11502
78973,11.44%,10000,69400,19.68,0,17,11,100,0,35407
12991,11.49%,30000,72000,19.65,0,30,15,100,1,50025
176369,11.99%,12000,40000,37.11,0,32,14,90,0,31346
245359,7.84%,35000,74000,17.21,0,17,8,100,0,35625
